source,target,length,freeFlowTime,capacity
1,4067,0.12,0.0,999999.0
1,4073,0.12,0.0,999999.0
1,4075,0.12,0.0,999999.0
1,8400,0.12,0.0,999999.0
2,4059,0.12,0.0,999999.0
2,4062,0.12,0.0,999999.0
2,4063,0.12,0.0,999999.0
2,4340,0.12,0.0,999999.0
3,3590,0.12,0.0,999999.0
3,3591,0.12,0.0,999999.0
3,4053,0.12,0.0,999999.0
3,4055,0.12,0.0,999999.0
4,3592,0.12,0.0,999999.0
4,3593,0.12,0.0,999999.0
4,4145,0.12,0.0,999999.0
5,4140,0.12,0.0,999999.0
5,4141,0.12,0.0,999999.0
5,4198,0.12,0.0,999999.0
5,4199,0.12,0.0,999999.0
6,3594,0.12,0.0,999999.0
6,3595,0.12,0.0,999999.0
6,3596,0.12,0.0,999999.0
6,4195,0.12,0.0,999999.0
7,3604,0.12,0.0,999999.0
7,4147,0.12,0.0,999999.0
7,4191,0.12,0.0,999999.0
8,3605,0.12,0.0,999999.0
8,4149,0.12,0.0,999999.0
8,4151,0.12,0.0,999999.0
8,4189,0.12,0.0,999999.0
9,3606,0.12,0.0,999999.0
9,3607,0.12,0.0,999999.0
9,4186,0.12,0.0,999999.0
9,4234,0.12,0.0,999999.0
10,3608,0.12,0.0,999999.0
10,4181,0.12,0.0,999999.0
10,4183,0.12,0.0,999999.0
10,4185,0.12,0.0,999999.0
11,3609,0.12,0.0,999999.0
11,3610,0.12,0.0,999999.0
11,4154,0.12,0.0,999999.0
12,3939,0.12,0.0,999999.0
12,3955,0.12,0.0,999999.0
12,3957,0.12,0.0,999999.0
12,3959,0.12,0.0,999999.0
13,3611,0.12,0.0,999999.0
13,3612,0.12,0.0,999999.0
13,4158,0.12,0.0,999999.0
14,4091,0.12,0.0,999999.0
14,4160,0.12,0.0,999999.0
14,4161,0.12,0.0,999999.0
15,3654,0.12,0.0,999999.0
15,3697,0.12,0.0,999999.0
15,3698,0.12,0.0,999999.0
15,3699,0.12,0.0,999999.0
16,3704,0.12,0.0,999999.0
16,4041,0.12,0.0,999999.0
16,4044,0.12,0.0,999999.0
17,3705,0.12,0.0,999999.0
17,4031,0.12,0.0,999999.0
17,4033,0.12,0.0,999999.0
18,3706,0.12,0.0,999999.0
18,3707,0.12,0.0,999999.0
18,4205,0.12,0.0,999999.0
19,4132,0.12,0.0,999999.0
19,4134,0.12,0.0,999999.0
19,4136,0.12,0.0,999999.0
19,4219,0.12,0.0,999999.0
20,4281,0.2,0.0,999999.0
20,4282,0.2,0.0,999999.0
20,4283,0.2,0.0,999999.0
20,4300,0.2,0.0,999999.0
21,3708,0.12,0.0,999999.0
21,3709,0.12,0.0,999999.0
21,3710,0.12,0.0,999999.0
21,3711,0.12,0.0,999999.0
22,3712,0.2,0.0,999999.0
