Node,X,Y
1,30208.0,74789.0
2,30224.0,74793.0
3,30247.0,74783.0
4,30220.0,74767.0
5,30243.0,74752.0
6,30227.0,74755.0
7,30211.0,74759.0
8,30200.0,74760.0
9,30180.0,74755.0
10,30173.0,74765.0
11,30183.0,74773.0
12,30178.0,74793.0
13,30153.0,74763.0
14,30158.0,74777.0
15,30151.0,74790.0
16,30275.0,74793.0
17,30291.0,74777.0
18,30285.0,74743.0
19,30268.0,74746.0
20,30264.0,74723.0
21,30248.0,74733.0
22,30224.0,74738.0
23,30230.0,74722.0
24,30216.0,74739.0
25,30207.0,74741.0
26,30201.0,74752.0
27,30197.0,74742.0
28,30205.0,74727.0
29,30186.0,74736.0
30,30162.0,74749.0
31,30166.0,74733.0
32,30143.0,74743.0
33,30125.0,74755.0
34,30132.0,74738.0
35,30106.0,74745.0
36,30090.0,74757.0
37,30137.0,74764.0
38,30122.0,74772.0
39,30105.0,74771.0
40,30122.0,74783.0
41,30133.0,74806.0
42,30137.0,74820.0
43,30164.0,74815.0
44,30190.0,74819.0
45,30208.0,74806.0
46,30219.0,74815.0
47,30234.0,74804.0
48,30258.0,74808.0
49,30301.0,74792.0
50,30317.0,74791.0
51,30310.0,74775.0
52,30303.0,74726.0
53,30330.0,74771.0
54,30321.0,74724.0
55,30090.0,74726.0
56,30160.0,74728.0
57,30230.0,74715.0
58,30290.0,74708.0
59,30334.0,74702.0
60,30306.0,74688.0
61,30334.0,74682.0
62,30228.0,74710.0
63,30162.0,74710.0
64,30094.0,74694.0
65,30134.0,74690.0
66,30174.0,74682.0
67,30208.0,74674.0
68,30242.0,74682.0
69,30292.0,74670.0
70,30332.0,74664.0
71,30318.0,74626.0
72,30344.0,74622.0
73,30276.0,74626.0
74,30228.0,74632.0
75,30196.0,74646.0
76,30162.0,74654.0
77,30128.0,74658.0
78,30086.0,74662.0
79,30044.0,74686.0
80,30000.0,74694.0
81,29988.0,74622.0
82,30060.0,74614.0
83,30110.0,74616.0
84,30108.0,74578.0
85,30148.0,74576.0
86,30192.0,74584.0
87,30226.0,74574.0
88,30266.0,74570.0
89,30332.0,74542.0
90,30372.0,74534.0
91,30260.0,74518.0
92,30190.0,74530.0
93,30028.0,74516.0
94,30124.0,74494.0
95,30176.0,74486.0
96,30235.0,74465.0
97,30360.0,74432.0
98,30206.0,74370.0
99,30216.0,74326.0
100,30080.0,74452.0
101,30054.0,74398.0
102,29860.0,74338.0
103,29780.0,74275.0
104,29765.0,74345.0
105,29720.0,74362.0
106,29768.0,74492.0
107,29772.0,74430.0
108,29832.0,74406.0
109,29902.0,74478.0
110,29834.0,74478.0
111,29806.0,74518.0
112,29856.0,74540.0
113,29832.0,74568.0
114,29800.0,74582.0
115,29788.0,74610.0
116,29832.0,74664.0
117,29856.0,74632.0
118,29886.0,74606.0
119,29934.0,74572.0
120,29924.0,74646.0
121,29894.0,74678.0
122,29866.0,74706.0
123,29836.0,74734.0
124,29890.0,74738.0
125,29936.0,74714.0
126,29962.0,74684.0
127,30028.0,74754.0
128,29964.0,74748.0
129,29926.0,74750.0
130,29912.0,74782.0
131,29866.0,74782.0
132,29824.0,74780.0
133,29766.0,74770.0
134,29770.0,74820.0
135,29824.0,74826.0
136,29870.0,74820.0
137,29918.0,74810.0
138,29962.0,74798.0
139,30002.0,74796.0
140,30068.0,74798.0
141,30056.0,74846.0
142,30020.0,74846.0
143,29968.0,74846.0
144,29880.0,74860.0
145,29838.0,74868.0
146,29810.0,74884.0
147,29782.0,74878.0
148,29700.0,74906.0
149,29658.0,74948.0
150,29684.0,74994.0
151,29742.0,74916.0
152,29780.0,74934.0
153,29842.0,74894.0
154,29878.0,74890.0
155,29908.0,74890.0
156,29938.0,74892.0
157,29966.0,74876.0
158,29974.0,74902.0
159,30018.0,74878.0
160,30054.0,74882.0
161,29974.0,74940.0
162,29898.0,74950.0
163,29832.0,74938.0
164,29822.0,74974.0
165,29772.0,74990.0
166,29732.0,74966.0
167,29738.0,75022.0
168,29792.0,75066.0
169,29822.0,75022.0
170,29852.0,75028.0
171,29850.0,75086.0
172,29890.0,75094.0
173,29944.0,75132.0
174,29968.0,75066.0
175,30052.0,74910.0
176,30168.0,74854.0
177,30232.0,74842.0
178,30270.0,74846.0
179,30300.0,74838.0
180,30340.0,74838.0
181,30358.0,74826.0
182,30304.0,74874.0
183,30276.0,74880.0
184,30242.0,74888.0
185,30208.0,74894.0
186,30170.0,74882.0
187,30174.0,74910.0
188,30126.0,74912.0
189,30096.0,74958.0
190,30136.0,74958.0
191,30170.0,74946.0
192,30208.0,74936.0
193,30274.0,74916.0
194,30334.0,74892.0
195,30321.0,74745.0
196,30408.0,74910.0
197,30338.0,74818.0
198,30334.0,74930.0
199,30286.0,74954.0
200,30254.0,74954.0
201,30214.0,74974.0
202,30174.0,74982.0
203,30126.0,74992.0
204,30036.0,75002.0
205,30116.0,75030.0
206,30180.0,75022.0
207,30220.0,75014.0
208,30254.0,75000.0
209,30286.0,74998.0
210,30322.0,74974.0
211,30358.0,74970.0
212,30388.0,74942.0
213,30458.0,74942.0
214,30464.0,74918.0
215,30420.0,74984.0
216,30398.0,75014.0
217,30344.0,75012.0
218,30364.0,75046.0
219,30318.0,75050.0
220,30284.0,75040.0
221,30256.0,75044.0
222,30228.0,75056.0
223,30186.0,75062.0
224,30122.0,75068.0
225,30116.0,75182.0
226,30140.0,75142.0
227,30166.0,75112.0
228,30220.0,75110.0
229,30276.0,75096.0
230,30318.0,75104.0
231,30374.0,75092.0
232,30428.0,75096.0
233,30448.0,75062.0
234,30470.0,75036.0
235,30496.0,75002.0
236,30516.0,74972.0
237,30532.0,74950.0
238,30601.0,75012.0
239,30638.0,74984.0
240,30684.0,75100.0
241,30724.0,75058.0
242,30740.0,75146.0
243,30764.0,75120.0
244,30604.0,75094.0
245,30562.0,75048.0
246,30536.0,75084.0
247,30516.0,75112.0
248,30580.0,75126.0
249,30544.0,75190.0
250,30498.0,75184.0
251,30468.0,75132.0
252,30452.0,75190.0
253,30406.0,75210.0
254,30378.0,75132.0
255,30366.0,75198.0
256,30330.0,75230.0
257,30324.0,75190.0
258,30318.0,75156.0
259,30272.0,75134.0
260,30252.0,75166.0
261,30216.0,75180.0
262,30280.0,75218.0
263,30268.0,75256.0
264,30204.0,75230.0
265,30108.0,75254.0
266,30054.0,75212.0
267,30054.0,75284.0
268,29958.0,75252.0
269,29934.0,75290.0
270,29974.0,75302.0
271,29946.0,75358.0
272,29918.0,75342.0
273,29886.0,75322.0
274,29854.0,75372.0
275,29808.0,75412.0
276,29886.0,75446.0
277,29842.0,75518.0
278,29772.0,75470.0
279,29742.0,75536.0
280,29818.0,75584.0
281,29842.0,75618.0
282,29954.0,75408.0
283,29913.0,75658.0
284,29892.0,75728.0
285,29946.0,75686.0
286,29992.0,75654.0
287,29966.0,75620.0
288,29926.0,75580.0
289,29960.0,75514.0
290,29996.0,75574.0
291,30018.0,75534.0
292,30038.0,75504.0
293,29996.0,75454.0
294,29992.0,75406.0
295,30038.0,75412.0
296,30068.0,75454.0
297,30100.0,75382.0
298,30080.0,75348.0
299,30120.0,75310.0
300,30138.0,75350.0
301,30166.0,75314.0
302,30162.0,75278.0
303,30204.0,75286.0
304,30210.0,75356.0
305,30156.0,75374.0
306,30198.0,75414.0
307,30188.0,75444.0
308,30220.0,75470.0
309,30188.0,75486.0
310,30164.0,75508.0
311,30132.0,75438.0
312,30104.0,75498.0
313,30132.0,75540.0
314,30088.0,75550.0
315,30066.0,75574.0
316,30032.0,75620.0
317,30104.0,75624.0
318,30136.0,75668.0
319,30174.0,75646.0
320,30140.0,75606.0
321,30170.0,75578.0
322,30230.0,75608.0
323,30214.0,75550.0
324,30246.0,75526.0
325,30292.0,75558.0
326,30290.0,75496.0
327,30326.0,75494.0
328,30372.0,75500.0
329,30366.0,75462.0
330,30406.0,75462.0
331,30444.0,75446.0
332,30442.0,75394.0
333,30400.0,75396.0
334,30370.0,75406.0
335,30332.0,75418.0
336,30286.0,75466.0
337,30290.0,75414.0
338,30252.0,75406.0
339,30248.0,75306.0
340,30282.0,75336.0
341,30330.0,75372.0
342,30310.0,75308.0
343,30340.0,75294.0
344,30364.0,75332.0
345,30396.0,75324.0
346,30380.0,75270.0
347,30416.0,75280.0
348,30464.0,75268.0
349,30446.0,75334.0
350,30502.0,75374.0
351,30540.0,75286.0
352,30590.0,75218.0
353,30620.0,75196.0
354,30636.0,75158.0
355,30686.0,75172.0
356,30748.0,75192.0
357,30790.0,75162.0
358,30712.0,75242.0
359,30678.0,75215.0
360,30664.0,75260.0
361,30608.0,75274.0
362,30638.0,75310.0
363,30594.0,75366.0
364,30560.0,75386.0
365,30534.0,75430.0
366,30572.0,75478.0
367,30600.0,75510.0
368,30638.0,75502.0
369,30622.0,75430.0
370,30678.0,75476.0
371,30642.0,75402.0
372,30660.0,75370.0
373,30698.0,75400.0
374,30742.0,75434.0
375,30798.0,75392.0
376,30754.0,75358.0
377,30716.0,75334.0
378,30668.0,75338.0
379,30732.0,75294.0
380,30788.0,75318.0
381,30758.0,75248.0
382,30804.0,75220.0
383,30816.0,75198.0
384,30802.0,75282.0
385,30860.0,75254.0
386,30876.0,75234.0
387,30830.0,75314.0
388,30860.0,75346.0
389,30928.0,75302.0
390,30948.0,75264.0
391,31044.0,75370.0
392,30926.0,75390.0
393,30896.0,75354.0
394,30908.0,75422.0
395,30840.0,75432.0
396,30838.0,75512.0
397,30792.0,75502.0
398,30734.0,75502.0
399,30760.0,75556.0
400,30790.0,75612.0
401,30684.0,75560.0
402,30614.0,75598.0
403,30684.0,75620.0
404,30644.0,75650.0
405,30698.0,75698.0
406,30758.0,75686.0
407,30786.0,75782.0
408,30870.0,75686.0
409,30940.0,75620.0
410,30914.0,75542.0
411,31012.0,75530.0
412,31022.0,75446.0
413,31142.0,75444.0
414,31110.0,75510.0
415,31106.0,75624.0
416,31048.0,75710.0
417,30930.0,75766.0
418,30860.0,75826.0
419,30894.0,75888.0
