,capacity_veh_per_hour
1_4067,999999.0
1_4073,999999.0
1_4075,999999.0
1_8400,999999.0
2_4059,999999.0
2_4062,999999.0
2_4063,999999.0
2_4340,999999.0
3_3590,999999.0
3_3591,999999.0
3_4053,999999.0
3_4055,999999.0
4_3592,999999.0
4_3593,999999.0
4_4145,999999.0
5_4140,999999.0
5_4141,999999.0
5_4198,999999.0
5_4199,999999.0
6_3594,999999.0
6_3595,999999.0
6_3596,999999.0
6_4195,999999.0
7_3604,999999.0
7_4147,999999.0
7_4191,999999.0
8_3605,999999.0
8_4149,999999.0
8_4151,999999.0
8_4189,999999.0
9_3606,999999.0
9_3607,999999.0
9_4186,999999.0
9_4234,999999.0
10_3608,999999.0
10_4181,999999.0
10_4183,999999.0
10_4185,999999.0
11_3609,999999.0
11_3610,999999.0
11_4154,999999.0
12_3939,999999.0
12_3955,999999.0
12_3957,999999.0
12_3959,999999.0
13_3611,999999.0
13_3612,999999.0
13_4158,999999.0
14_4091,999999.0
14_4160,999999.0
14_4161,999999.0
15_3654,999999.0
15_3697,999999.0
15_3698,999999.0
15_3699,999999.0
16_3704,999999.0
16_4041,999999.0
16_4044,999999.0
17_3705,999999.0
17_4031,999999.0
17_4033,999999.0
18_3706,999999.0
18_3707,999999.0
18_4205,999999.0
19_4132,999999.0
19_4134,999999.0
19_4136,999999.0
19_4219,999999.0
20_4281,999999.0
20_4282,999999.0
20_4283,999999.0
20_4300,999999.0
21_3708,999999.0
21_3709,999999.0
21_3710,999999.0
21_3711,999999.0
22_3712,999999.0
22_4272,999999.0
22_4273,999999.0
23_3714,999999.0
23_3715,999999.0
23_3716,999999.0
23_3717,999999.0
24_3718,999999.0
24_4227,999999.0
24_4270,999999.0
24_4386,999999.0
25_3719,999999.0
25_3720,999999.0
25_3721,999999.0
25_4268,999999.0
26_3722,999999.0
26_3723,999999.0
26_3724,999999.0
26_3725,999999.0
27_3726,999999.0
27_4230,999999.0
27_4264,999999.0
27_4266,999999.0
28_3728,999999.0
28_3729,999999.0
29_3731,999999.0
29_3732,999999.0
29_3733,999999.0
29_3734,999999.0
30_3735,999999.0
30_3736,999999.0
30_3737,999999.0
30_4260,999999.0
31_4312,999999.0
31_4314,999999.0
31_4375,999999.0
31_4376,999999.0
32_3738,999999.0
32_3740,999999.0
32_3741,999999.0
32_3742,999999.0
33_3744,999999.0
33_3745,999999.0
33_3746,999999.0
33_4251,999999.0
34_3747,999999.0
34_3748,999999.0
34_3749,999999.0
34_3750,999999.0
35_4248,999999.0
35_4320,999999.0
35_4322,999999.0
36_4247,999999.0
36_8401,999999.0
36_8402,999999.0
37_3751,999999.0
37_3752,999999.0
37_3753,999999.0
37_4241,999999.0
38_3754,999999.0
38_3755,999999.0
38_3756,999999.0
38_4170,999999.0
39_4171,999999.0
39_4173,999999.0
39_4245,999999.0
40_3739,999999.0
40_3757,999999.0
40_3758,999999.0
40_3759,999999.0
41_3760,999999.0
41_3761,999999.0
41_3762,999999.0
41_3763,999999.0
42_3764,999999.0
42_3765,999999.0
42_3766,999999.0
42_3767,999999.0
43_3768,999999.0
43_3769,999999.0
43_3770,999999.0
43_3910,999999.0
44_3922,999999.0
44_3924,999999.0
44_3926,999999.0
44_3928,999999.0
45_3989,999999.0
45_4069,999999.0
45_4070,999999.0
45_4072,999999.0
46_3771,999999.0
46_3772,999999.0
46_3991,999999.0
46_3992,999999.0
47_3773,999999.0
47_3774,999999.0
47_4057,999999.0
47_4335,999999.0
48_3775,999999.0
49_3776,999999.0
49_4015,999999.0
49_4025,999999.0
50_3777,999999.0
50_3778,999999.0
50_4019,999999.0
51_3778,999999.0
51_3779,999999.0
51_3780,999999.0
51_4027,999999.0
52_3781,999999.0
52_3782,999999.0
52_3783,999999.0
53_4020,999999.0
54_4213,999999.0
55_3347,999999.0
55_3784,999999.0
55_3785,999999.0
55_5649,999999.0
56_3786,999999.0
56_3787,999999.0
56_3788,999999.0
56_3789,999999.0
57_3790,999999.0
57_3791,999999.0
57_3792,999999.0
57_3793,999999.0
58_3840,999999.0
58_3849,999999.0
58_3857,999999.0
58_4296,999999.0
59_4359,999999.0
60_3859,999999.0
60_3860,999999.0
60_3861,999999.0
61_4543,999999.0
62_3863,999999.0
62_3864,999999.0
62_3865,999999.0
62_3866,999999.0
63_3352,999999.0
63_3867,999999.0
63_3868,999999.0
63_3869,999999.0
64_3871,999999.0
64_3872,999999.0
64_3873,999999.0
64_3874,999999.0
65_3875,999999.0
65_3876,999999.0
65_3877,999999.0
65_3879,999999.0
66_3881,999999.0
66_3882,999999.0
66_3883,999999.0
66_3884,999999.0
67_3885,999999.0
67_3886,999999.0
67_3888,999999.0
67_13291,999999.0
68_3889,999999.0
68_3890,999999.0
68_3891,999999.0
68_3892,999999.0
69_5666,999999.0
69_5667,999999.0
69_5668,999999.0
69_5669,999999.0
70_4544,999999.0
71_4545,999999.0
71_5671,999999.0
71_5672,999999.0
72_4547,999999.0
73_5673,999999.0
73_5675,999999.0
73_5676,999999.0
73_5678,999999.0
74_3358,999999.0
74_5679,999999.0
74_5680,999999.0
74_5681,999999.0
75_5682,999999.0
75_5683,999999.0
75_5684,999999.0
75_5685,999999.0
76_3363,999999.0
76_5686,999999.0
76_5687,999999.0
76_5688,999999.0
77_3349,999999.0
77_3350,999999.0
77_3355,999999.0
77_5690,999999.0
78_3348,999999.0
78_5691,999999.0
78_5692,999999.0
78_5693,999999.0
79_5629,999999.0
79_5694,999999.0
79_5695,999999.0
80_5696,999999.0
80_5697,999999.0
80_5698,999999.0
81_5699,999999.0
81_5700,999999.0
82_4390,999999.0
82_5701,999999.0
82_5702,999999.0
83_3362,999999.0
83_5703,999999.0
83_5704,999999.0
83_5705,999999.0
84_5706,999999.0
84_5707,999999.0
84_5708,999999.0
85_5628,999999.0
85_5709,999999.0
85_5710,999999.0
86_5627,999999.0
86_5711,999999.0
86_5712,999999.0
87_3366,999999.0
87_5713,999999.0
87_5714,999999.0
87_5715,999999.0
88_5716,999999.0
88_5717,999999.0
89_5718,999999.0
90_5622,999999.0
91_5720,999999.0
91_5721,999999.0
91_13290,999999.0
92_5626,999999.0
92_5722,999999.0
92_5723,999999.0
93_5624,999999.0
94_4458,999999.0
94_5727,999999.0
95_5724,999999.0
95_5725,999999.0
96_2912,999999.0
96_4000,999999.0
96_4001,999999.0
96_4003,999999.0
97_4534,999999.0
98_5623,999999.0
99_3370,999999.0
100_5726,999999.0
101_5727,999999.0
101_5728,999999.0
102_3313,999999.0
102_9258,999999.0
103_8619,999999.0
104_1699,999999.0
104_9206,999999.0
105_2885,999999.0
105_2952,999999.0
106_3743,999999.0
106_5729,999999.0
107_4560,999999.0
107_5730,999999.0
107_6111,999999.0
108_3380,999999.0
108_5731,999999.0
108_9256,999999.0
109_5732,999999.0
110_3376,999999.0
110_5733,999999.0
110_5734,999999.0
111_4571,999999.0
111_5735,999999.0
111_5736,999999.0
112_5737,999999.0
112_5738,999999.0
112_5739,999999.0
113_3378,999999.0
113_3379,999999.0
113_6053,999999.0
114_3377,999999.0
114_5740,999999.0
114_5741,999999.0
115_5742,999999.0
115_5743,999999.0
115_5744,999999.0
116_5745,999999.0
116_5746,999999.0
116_5747,999999.0
117_5748,999999.0
117_5749,999999.0
117_5750,999999.0
118_5751,999999.0
118_5752,999999.0
118_5753,999999.0
119_4566,999999.0
119_5754,999999.0
119_5755,999999.0
119_5756,999999.0
120_5757,999999.0
120_5758,999999.0
120_5759,999999.0
121_3375,999999.0
121_5760,999999.0
121_5761,999999.0
121_5762,999999.0
122_3373,999999.0
122_3374,999999.0
122_4594,999999.0
122_5763,999999.0
123_2931,999999.0
123_5764,999999.0
123_5765,999999.0
124_5766,999999.0
124_5767,999999.0
124_5768,999999.0
124_5769,999999.0
125_2910,999999.0
125_5770,999999.0
125_5771,999999.0
126_5772,999999.0
126_5773,999999.0
126_5774,999999.0
127_5775,999999.0
127_5776,999999.0
127_5777,999999.0
127_5778,999999.0
128_3384,999999.0
128_5779,999999.0
128_5780,999999.0
128_5781,999999.0
129_5915,999999.0
129_5916,999999.0
129_5917,999999.0
130_5918,999999.0
130_5919,999999.0
130_5920,999999.0
130_5921,999999.0
131_3389,999999.0
131_5922,999999.0
131_5923,999999.0
132_5633,999999.0
132_5924,999999.0
132_5925,999999.0
133_3390,999999.0
133_5926,999999.0
133_5927,999999.0
134_3395,999999.0
134_5928,999999.0
134_5929,999999.0
134_5930,999999.0
135_3394,999999.0
135_5634,999999.0
135_5931,999999.0
136_2908,999999.0
136_2909,999999.0
136_2929,999999.0
137_5932,999999.0
137_5933,999999.0
137_5934,999999.0
138_3388,999999.0
138_5935,999999.0
138_5936,999999.0
139_3386,999999.0
139_5937,999999.0
139_5938,999999.0
139_5939,999999.0
140_5940,999999.0
140_5941,999999.0
140_5942,999999.0
140_5943,999999.0
141_5944,999999.0
141_5945,999999.0
141_5946,999999.0
141_5947,999999.0
142_5948,999999.0
142_5949,999999.0
142_5950,999999.0
143_5951,999999.0
143_5952,999999.0
143_5953,999999.0
143_5954,999999.0
144_3393,999999.0
144_5955,999999.0
144_5956,999999.0
144_5957,999999.0
145_5635,999999.0
145_5636,999999.0
145_5958,999999.0
146_5959,999999.0
146_5960,999999.0
146_5961,999999.0
147_3397,999999.0
147_5962,999999.0
147_5963,999999.0
147_5964,999999.0
148_2930,999999.0
148_5965,999999.0
148_6320,999999.0
149_5966,999999.0
149_5967,999999.0
149_5968,999999.0
150_5969,999999.0
150_5970,999999.0
150_9044,999999.0
151_5971,999999.0
151_5972,999999.0
151_5973,999999.0
152_5974,999999.0
152_5975,999999.0
152_5976,999999.0
152_5977,999999.0
153_3403,999999.0
153_5978,999999.0
153_5979,999999.0
154_5980,999999.0
154_5981,999999.0
155_5982,999999.0
155_5983,999999.0
155_5984,999999.0
156_3399,999999.0
156_5985,999999.0
156_5986,999999.0
157_5987,999999.0
157_5988,999999.0
157_5989,999999.0
158_5990,999999.0
158_5991,999999.0
158_5992,999999.0
158_5993,999999.0
159_3400,999999.0
159_4731,999999.0
159_5637,999999.0
160_5994,999999.0
160_5995,999999.0
160_5996,999999.0
161_3401,999999.0
161_5997,999999.0
161_5998,999999.0
162_2886,999999.0
162_5999,999999.0
162_6000,999999.0
162_6001,999999.0
163_6002,999999.0
163_6003,999999.0
163_6004,999999.0
164_3405,999999.0
164_6005,999999.0
164_6006,999999.0
164_6007,999999.0
165_6008,999999.0
165_6009,999999.0
165_6010,999999.0
166_3407,999999.0
166_6011,999999.0
166_6012,999999.0
167_3408,999999.0
167_6013,999999.0
167_6014,999999.0
168_6015,999999.0
168_6016,999999.0
168_6017,999999.0
169_5638,999999.0
169_6018,999999.0
169_6019,999999.0
170_6020,999999.0
170_6021,999999.0
170_6022,999999.0
171_6023,999999.0
171_6024,999999.0
171_6025,999999.0
172_6026,999999.0
172_6027,999999.0
172_6028,999999.0
173_6029,999999.0
173_6030,999999.0
173_13279,999999.0
174_4767,999999.0
174_6031,999999.0
174_6032,999999.0
175_6033,999999.0
175_6034,999999.0
175_6035,999999.0
176_3302,999999.0
176_3303,999999.0
176_6036,999999.0
176_6037,999999.0
177_6038,999999.0
177_6039,999999.0
177_6040,999999.0
177_6041,999999.0
178_4894,999999.0
178_6042,999999.0
